_id,neighborhood_municipality,bivalent_booster
15628,Elliott (Pittsburgh),306
15629,Pennsbury Village,133
15630,Shaler,6614
15631,Turtle Creek,649
15632,Indiana,1690
15633,Overbrook (Pittsburgh),558
15634,Central Northside (Pittsburgh),798
15635,Central Oakland (Pittsburgh),405
15636,Hays (Pittsburgh),46
15637,Edgeworth,446
15638,Tarentum,506
